Avatar,2009,5,Sam Worthington,Jake Sully,Zoe Saldana,Neytiri,Sigourney Weaver,Dr. Grace Augustine,Stephen Lang,Col. Quaritch,Michelle Rodriguez,Trudy Chacon
Pirates of the Caribbean: At World's End,2007,5,Johnny Depp,Captain Jack Sparrow,Orlando Bloom,Will Turner,Keira Knightley,Elizabeth Swann,Stellan Skarsgård,William "Bootstrap Bill" Turner,Chow Yun-fat,Captain Sao Feng
Spectre,2015,5,Daniel Craig,James Bond,Christoph Waltz,Blofeld,Léa Seydoux,Madeleine,Ralph Fiennes,M,Monica Bellucci,Lucia
The Dark Knight Rises,2012,5,Christian Bale,Bruce Wayne and Batman,Michael Caine,Alfred Pennyworth,Gary Oldman,James Gordon,Anne Hathaway,Selina Kyle and Catwoman,Tom Hardy,Bane
John Carter,2012,5,Taylor Kitsch,John Carter,Lynn Collins,Dejah Thoris,Samantha Morton,Sola,Willem Dafoe,Tars Tarkas,Thomas Haden Church,Tal Hajus
Spider-Man 3,2007,5,Tobey Maguire,Peter Parker and Spider-Man,Kirsten Dunst,Mary Jane Watson,James Franco,Harry Osborn and New Goblin,Thomas Haden Church,Flint Marko and Sandman,Topher Grace,Eddie Brock and Venom
Tangled,2010,5,Zachary Levi,Flynn Rider (voice),Mandy Moore,Rapunzel (voice),Donna Murphy,Mother Gothel (voice),Ron Perlman,Stabbington Brother (voice),M.C. Gainey,Captain of the Guard (voice)
Avengers: Age of Ultron,2015,5,Robert Downey Jr.,Tony Stark and Iron Man,Chris Hemsworth,Thor Odinson,Mark Ruffalo,Bruce Banner and Hulk,Chris Evans,Steve Rogers and Captain America,Scarlett Johansson,Natasha Romanoff and Black Widow
Harry Potter and the Half-Blood Prince,2009,5,Daniel Radcliffe,Harry Potter,Rupert Grint,Ron Weasley,Emma Watson,Hermione Granger,Tom Felton,Draco Malfoy,Michael Gambon,Albus Dumbledore
Batman v Superman: Dawn of Justice,2016,5,Ben Affleck,Bruce Wayne and Batman,Henry Cavill,Clark Kent and Superman,Gal Gadot,Diana Prince and Wonder Woman,Amy Adams,Lois Lane,Jesse Eisenberg,Lex Luthor
Superman Returns,2006,5,Brandon Routh,Superman and Clark Kent,Kevin Spacey,Lex Luthor,Kate Bosworth,Lois Lane,James Marsden,Richard White,Parker Posey,Kitty Kowalski
Quantum of Solace,2008,5,Daniel Craig,James Bond,Olga Kurylenko,Camille Montes,Mathieu Amalric,Dominic Greene,Judi Dench,M,Giancarlo Giannini,René Mathis
Pirates of the Caribbean: Dead Man's Chest,2006,5,Johnny Depp,Captain Jack Sparrow,Orlando Bloom,Will Turner,Keira Knightley,Elizabeth Swann,Stellan Skarsgård,William "Bootstrap Bill" Turner,Bill Nighy,Captain Davy Jones
The Lone Ranger,2013,5,Johnny Depp,Tonto,Armie Hammer,John Reid and The Lone Ranger,William Fichtner,Butch Cavendish,Helena Bonham Carter,Red Harrington,James Badge Dale,Dan Reid
Man of Steel,2013,5,Henry Cavill,Clark Kent and Kal-El,Amy Adams,Lois Lane,Michael Shannon,General Zod,Kevin Costner,Jonathan Kent,Diane Lane,Martha Kent
The Chronicles of Narnia: Prince Caspian,2008,5,Ben Barnes,Prince Caspian,William Moseley,Peter Pevensie,Anna Popplewell,Susan Pevensie,Skandar Keynes,Edmund Pevensie,Georgie Henley,Lucy Pevensie
The Avengers,2012,5,Robert Downey Jr.,Tony Stark and Iron Man,Chris Evans,Steve Rogers and Captain America,Mark Ruffalo,Bruce Banner and The Hulk,Chris Hemsworth,Thor Odinson,Scarlett Johansson,Natasha Romanoff and Black Widow
Pirates of the Caribbean: On Stranger Tides,2011,5,Johnny Depp,Captain Jack Sparrow,Penélope Cruz,Angelica Teach,Ian McShane,Captain Edward "Blackbeard" Teach,Kevin McNally,Joshamee Gibbs,Geoffrey Rush,Captain Hector Barbossa
Men in Black 3,2012,5,Will Smith,Agent J,Tommy Lee Jones,Agent K,Josh Brolin,Young Agent K,Michael Stuhlbarg,Griffin,Emma Thompson,Agent O
The Hobbit: The Battle of the Five Armies,2014,5,Martin Freeman,Bilbo Baggins,Ian McKellen,Gandalf,Richard Armitage,Thorin Oakenshield,Ken Stott,Balin,Graham McTavish,Dwalin
The Amazing Spider-Man,2012,5,Andrew Garfield,Peter Parker and Spider-Man,Emma Stone,Gwen Stacy,Rhys Ifans,Dr. Curt Connors and The Lizard,Denis Leary,Captain Stacy,Campbell Scott,Richard Parker
Robin Hood,2010,5,Russell Crowe,Robin Longstride,Cate Blanchett,Marion Loxley,Max von Sydow,Sir Walter Loxley,William Hurt,William Marshal,Mark Strong,Godfrey
The Hobbit: The Desolation of Smaug,2013,5,Martin Freeman,Bilbo Baggins,Ian McKellen,Gandalf,Richard Armitage,Thorin Oakenshield,Ken Stott,Balin,Graham McTavish,Dwalin
The Golden Compass,2007,5,Dakota Blue Richards,Lyra Belacqua,Nicole Kidman,Marisa Coulter,Daniel Craig,Lord Asriel,Sam Elliott,Lee Scoresby,Eva Green,Serafina Pekkala
King Kong,2005,5,Naomi Watts,Ann Darrow,Jack Black,Carl Denham,Adrien Brody,Jack Driscoll,Thomas Kretschmann,Captain Englehorn,Colin Hanks,Preston
Titanic,1997,5,Kate Winslet,Rose DeWitt Bukater,Leonardo DiCaprio,Jack Dawson,Frances Fisher,Ruth Dewitt Bukater,Billy Zane,Caledon 'Cal' Hockley,Kathy Bates,Molly Brown
Captain America: Civil War,2016,5,Chris Evans,Steve Rogers and Captain America,Robert Downey Jr.,Tony Stark and Iron Man,Scarlett Johansson,Natasha Romanoff and Black Widow,Sebastian Stan,Bucky Barnes and Winter Soldier,Anthony Mackie,Sam Wilson and Falcon
Battleship,2012,5,Taylor Kitsch,Lieutenant Alex Hopper,Alexander Skarsgård,Commander Stone Hopper,Rihanna,Petty Officer Cora 'Weps' Raikes,Brooklyn Decker,Sam,Tadanobu Asano,Captain Yugi Nagata
Jurassic World,2015,5,Chris Pratt,Owen Grady,Bryce Dallas Howard,Claire Dearing,Irrfan Khan,Simon Masrani,Vincent D'Onofrio,Vic Hoskins,Nick Robinson,Zach Mitchell
Skyfall,2012,5,Daniel Craig,James Bond,Judi Dench,M,Javier Bardem,Silva,Ralph Fiennes,Gareth Mallory and M,Naomie Harris,Eve
Spider-Man 2,2004,5,Tobey Maguire,Peter Parker and Spider-Man,Kirsten Dunst,Mary Jane Watson,James Franco,Harry Osborn,Alfred Molina,Dr. Otto Octavius and Doctor Octopus,Rosemary Harris,May Parker
Iron Man 3,2013,5,Robert Downey Jr.,Tony Stark and Iron Man,Gwyneth Paltrow,Virginia "Pepper" Potts,Don Cheadle,Colonel James " Rhodey" Rhodes,Guy Pearce,Aldrich Killian and The Mandarin,Rebecca Hall,Maya Hansen
Alice in Wonderland,2010,5,Mia Wasikowska,Alice Kingsleigh,Johnny Depp,The Mad Hatter,Anne Hathaway,The White Queen,Helena Bonham Carter,The Red Queen,Crispin Glover,The Knave of Hearts
X-Men: The Last Stand,2006,5,Hugh Jackman,Logan and Wolverine,Halle Berry,Ororo Munroe and Storm,Ian McKellen,Eric Lehnsherr and Magneto,Patrick Stewart,Charles Xavier and Professor X,Famke Janssen,Jean Grey and Phoenix
Monsters University,2013,5,Billy Crystal,Michael "Mike" Wazowski (voice),John Goodman,James P. "Sulley" Sullivan (voice),Steve Buscemi,Randall Boggs (voice),Helen Mirren,Dean Hardscrabble (voice),Noah Johnston,Young Mike (voice)
Transformers: Revenge of the Fallen,2009,5,Shia LaBeouf,Sam Witwicky,Megan Fox,Mikaela Banes,Josh Duhamel,Captain Lennox,Rainn Wilson,College Professor,Tyrese Gibson,USAF Tech Sergeant Epps
Transformers: Age of Extinction,2014,5,Mark Wahlberg,Cade Yeager,Stanley Tucci,Joshua,Kelsey Grammer,Harold Attinger,Nicola Peltz,Tessa Yeager,Jack Reynor,Shane
Oz: The Great and Powerful,2013,5,James Franco,Oz,Mila Kunis,Theodora,Rachel Weisz,Evanora,Michelle Williams,Annie and Glinda,Zach Braff,Frank and Finley
The Amazing Spider-Man 2,2014,5,Andrew Garfield,Peter Parker and Spider-Man,Emma Stone,Gwen Stacy,Jamie Foxx,Max Dillon and Electro,Dane DeHaan,Harry Osborn and Green Goblin,Campbell Scott,Richard Parker
TRON: Legacy,2010,5,Garrett Hedlund,Sam Flynn,Jeff Bridges,Kevin Flynn and Clu,Olivia Wilde,Quorra,Bruce Boxleitner,Alan Bradley and Tron,Yaya DaCosta,Siren
Cars 2,2011,5,Owen Wilson,Lightning McQueen (voice),Larry the Cable Guy,Mater (voice),Michael Caine,Finn McMissile (voice),Emily Mortimer,Holley Shiftwell (voice),John Turturro,Francesco Bernoulli (voice)
Green Lantern,2011,5,Ryan Reynolds,Hal Jordan and Green Lantern,Blake Lively,Carol Ferris,Peter Sarsgaard,Hector Hammond,Tim Robbins,Senator Hammond,Mark Strong,Sinestro
Toy Story 3,2010,5,Tom Hanks,Woody (voice),Tim Allen,Buzz Lightyear (voice),Ned Beatty,Lotso (voice),Joan Cusack,Jessie the Yodeling Cowgirl (voice),Michael Keaton,Ken (voice)
Terminator Salvation,2009,5,Christian Bale,John Connor,Sam Worthington,Marcus Wright,Anton Yelchin,Kyle Reese,Moon Bloodgood,Blair Williams,Bryce Dallas Howard,Kate Connor
Furious 7,2015,5,Vin Diesel,Dominic Toretto,Paul Walker,Brian O'Conner,Dwayne Johnson,Hobbs,Michelle Rodriguez,Letty,Tyrese Gibson,Roman
